Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Антип Ульянов",hard,17,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","17:12:58","17:13:41",
Bot3,"Антип Ульянов",hard,17,Completed,"Farming - Part 3","Item Package of graphics cards","1","17:13:46","17:15:34",
Bot3,"Антип Ульянов",hard,17,Completed,"Big Red","Big Red: Objective #5","1","17:15:39","17:15:53",
Bot3,"Антип Ульянов",hard,17,Completed,"Big Red","Big Red: Objective #1","1","17:15:58","17:16:19",
Bot3,"Антип Ульянов",hard,17,Completed,"Big Red","Big Red: Objective #4","1","17:16:24","17:16:58",
Bot3,"Антип Ульянов",hard,17,Completed,"Big Red","Big Red: Objective #3","1","17:17:03","17:17:45",
Bot3,"Антип Ульянов",hard,17,Completed,"Big Red","Big Red: Objective #2","1","17:17:50","17:18:07",
Bot4,"Александр Юдин",hard,3,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","17:12:59","17:13:19",
Bot5,"Игорь Сизый",hard,1,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","17:13:00","17:13:20",
Bot6,"Константин Собчак",hard,39,Failed,"Bullshit","Item Flash drive with fake info","1","17:13:01","17:16:20",
Bot6,"Константин Собчак",hard,39,Completed,"Bullshit","Zone Q019_3","2","17:16:25","17:18:37",
Bot6,"Константин Собчак",hard,39,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","17:18:42","17:19:10",
Bot6,"Константин Собчак",hard,39,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","17:19:15","17:19:33",
Bot6,"Константин Собчак",hard,39,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","17:19:38","17:19:53",
Bot6,"Константин Собчак",hard,39,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","17:19:58","17:22:26",
Bot6,"Константин Собчак",hard,39,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","17:22:31","17:22:55",
Bot6,"Константин Собчак",hard,39,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","17:23:00","17:23:17",
Bot6,"Константин Собчак",hard,39,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","17:23:22","17:23:53",
Bot7,"Мартын Казаньков",hard,25,Failed,"Big Red","Big Red: Objective #2","1","17:13:02","17:15:10",
Bot8,"Тарас Загородный",hard,17,Failed,"Shaking up the Teller","Zone room214","1","17:13:03","17:13:34",
Bot8,"Тарас Загородный",hard,17,Completed,"Shaking up the Teller","Item Bank case","1","17:13:39","17:14:39",
Bot8,"Тарас Загородный",hard,17,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","17:14:44","17:17:22",
Bot8,"Тарас Загородный",hard,17,Failed,"Golden Swag","Item Golden Zibbo lighter","1","17:17:23","17:23:07",
Bot8,"Тарас Загородный",hard,17,Completed,"Pharmacist","Zone room114","1","17:23:12","17:24:50",
Bot8,"Тарас Загородный",hard,17,Active,"Pharmacist","Zone vaz_feld","1","17:24:55","N/A",
Bot29,"Вячеслав Кожуров",hard,16,Failed,"BP Depot","Zone fuel3","1","17:18:11","17:26:21",
Bot30,"Эдуард Аглиуллин",hard,32,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","17:18:12","17:26:48",
Bot30,"Эдуард Аглиуллин",hard,32,Active,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","17:26:53","N/A",
Bot56,"Тимофей Рыбалкин",hard,1,Completed,"Fortress","Fortress: Objective #9","4","17:24:24","17:34:29",
Bot56,"Тимофей Рыбалкин",hard,1,Active,"Fortress","Fortress: Objective #6","1","17:34:35","N/A",
Bot57,"Демьян Бутусов",hard,10,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","17:24:25","17:24:35",
Bot58,"Геннадий Угольников",hard,13,Failed,"Shaking up the Teller","Item Bank case","1","17:24:26","17:33:13",
Bot59,"Royce Olivarez",hard,2,Failed,"Giving Tree","Giving Tree: Objective #1","1","17:24:52","17:31:47",
Bot60,"Phil Sin",hard,15,Failed,"Short Cut","Short Cut: Objective #1","1","17:24:52","17:31:58",
Bot60,"Phil Sin",hard,15,Active,"Storage Building","Storage Building: Objective #2","1","17:32:03","N/A",
Bot82,"Назар Шабуров",hard,19,Pending,"Old Gas Sniping","Old Gas Sniping: Objective #1","1","17:30:04","N/A",
Bot82,"Назар Шабуров",hard,19,Active,"Power Switch","Power Switch: Objective #1","1","17:30:19","N/A",
Bot83,"Всеволод Баринов",hard,17,Failed,"Old Gas","Old Gas: Objective #2","1","17:30:05","17:32:50",
Bot87,"Игнатий Левин",hard,17,Completed,"Garage","Garage: Objective #1","1","17:31:19","17:33:04",
Bot87,"Игнатий Левин",hard,17,Completed,"Garage","Garage: Objective #2","1","17:33:09","17:33:12",
Bot87,"Игнатий Левин",hard,17,Failed,"Garage","Garage: Objective #3","1","17:33:17","17:33:19",
Bot87,"Игнатий Левин",hard,17,Failed,"Fortress Sniping","Fortress Sniping: Objective #3","1","17:33:24","17:35:11",
Bot94,"Vincenzo Thiel",hard,10,Failed,"Warehouse 17","Warehouse 17: Objective #1","1","17:31:53","17:31:53",
