Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot205,"Stan Linger",hard,9,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","2","21:24:33","21:27:12",
Bot206,"Newton Clute",hard,4,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","21:24:33","21:27:14",
Bot207,"Brendan Keene",hard,10,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","21:24:35","21:26:11",
Bot208,"Bryon Bernabe",hard,23,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","21:24:36","21:26:44",
Bot209,"Desmond Goodrum",hard,6,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","21:24:36","21:24:59",
Bot223,"Zack Kean",hard,25,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","21:29:00","21:31:36",
Bot230,"Святослав Заболотный",hard,15,Failed,"Bad Rep Evidence","Zone locked_office","1","21:30:49","21:30:51",
Bot230,"Святослав Заболотный",hard,15,Failed,"Delivery From the Past","Zone case_extraction","1","21:30:56","21:35:26",
