Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot205,"Спиридон Чуркин",hard,15,Failed,"BP Depot","Zone fuel4","1","18:40:55","18:41:15",
Bot205,"Спиридон Чуркин",hard,15,Failed,"BP Depot","Zone fuel2","1","18:41:20","18:41:23",
Bot206,"Вениамин Карбаинов",hard,14,Failed,"BP Depot","Zone fuel4","1","18:40:56","18:41:51",
Bot206,"Вениамин Карбаинов",hard,14,Failed,"BP Depot","Zone fuel2","1","18:41:56","18:42:00",
Bot207,"Максим Щёткин",hard,9,Active,"BP Depot","Zone fuel4","1","18:40:56","N/A",
Bot208,"Bernard Curl",hard,22,Pending,"Tigr Safari","Zone place_peacemaker_002_N3","1","18:40:57","N/A",
Bot209,"Hai Shults",hard,10,Completed,"Shaking up the Teller","Item Bank case","1","18:40:58","18:45:58",
Bot209,"Hai Shults",hard,10,Failed,"Shaking up the Teller","Zone room214","1","18:46:03","18:46:22",
Bot210,"Dante Manson",hard,15,Failed,"Chemical - Part 2","Item Sealed letter with a TG logo","1","18:41:00","18:43:51",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Chemical - Part 1","Item Secure Folder 0013","1","18:46:11","18:46:17",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Chemical - Part 1","Zone bomj_place","1","18:46:22","18:46:27",
Bot229,"Ефрем Красоткин",hard,24,Failed,"Chemical - Part 4","Zone gazel","1","18:46:32","18:48:14",
Bot229,"Ефрем Красоткин",hard,24,Failed,"Big Customer","Zone gazel","1","18:48:19","18:48:22",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Cargo X - Part 2","Item Secure Folder 0013","1","18:48:27","18:49:07",
Bot229,"Ефрем Красоткин",hard,24,Failed,"Out of Curiosity","Zone gazel","1","18:49:12","18:49:49",
Bot229,"Ефрем Красоткин",hard,24,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","18:49:54","18:51:37",
Bot229,"Ефрем Красоткин",hard,24,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","18:51:42","18:51:48",
Bot229,"Ефрем Красоткин",hard,24,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","18:51:53","18:59:09",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Warehouse 17","Warehouse 17: Objective #1","1","18:59:14","19:01:08",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Crackhouse","Crackhouse: Objective #2","1","19:01:13","19:02:08",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Crackhouse","Crackhouse: Objective #3","1","19:02:13","19:02:28",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Crackhouse","Crackhouse: Objective #7","1","19:02:33","19:02:49",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Crackhouse","Crackhouse: Objective #1","1","19:02:54","19:03:41",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Crackhouse","Crackhouse: Objective #4","1","19:03:46","19:04:44",
Bot229,"Ефрем Красоткин",hard,24,Completed,"Crackhouse","Crackhouse: Objective #5","1","19:04:49","19:04:55",
Bot229,"Ефрем Красоткин",hard,24,Pending,"Crackhouse","Crackhouse: Objective #6","1","19:05:01","N/A",
Bot229,"Ефрем Красоткин",hard,24,Active,"Fortress","Fortress: Objective #4","1","19:05:21","N/A",
Bot230,"Владислав Смагин",hard,6,Active,"Repair Shop","Repair Shop: Objective #1","1","18:46:12","N/A",
Bot241,"Павел Смолин",hard,6,Completed,"Giving Tree","Giving Tree: Objective #1","1","18:47:41","18:48:05",
Bot241,"Павел Смолин",hard,6,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","18:48:10","18:48:21",
Bot241,"Павел Смолин",hard,6,Failed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","18:48:26","18:48:26",
Bot241,"Павел Смолин",hard,6,Failed,"Short Cut","Short Cut: Objective #1","1","18:48:32","18:48:35",
Bot241,"Павел Смолин",hard,6,Failed,"BP Depot","Zone fuel3","1","18:48:40","18:48:49",
Bot241,"Павел Смолин",hard,6,Failed,"BP Depot","Zone fuel1","1","18:48:54","18:48:54",
Bot241,"Павел Смолин",hard,6,Failed,"BP Depot","Zone fuel2","1","18:48:59","18:49:25",
Bot241,"Павел Смолин",hard,6,Failed,"BP Depot","Zone fuel4","1","18:49:30","18:49:30",
Bot241,"Павел Смолин",hard,6,Failed,"Old Gas","Old Gas: Objective #1","1","18:49:36","18:50:05",
Bot242,"Всеволод Углов",hard,4,Completed,"Giving Tree","Giving Tree: Objective #1","1","18:47:42","18:50:08",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #5","1","18:50:13","18:51:58",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #8","3","18:52:03","18:53:01",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #2","1","18:53:06","18:53:24",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #3","1","18:53:29","18:53:44",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #1","1","18:53:49","18:53:59",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #9","4","18:54:04","18:55:07",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #6","1","18:55:12","18:56:01",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #4","1","18:56:06","18:56:47",
Bot242,"Всеволод Углов",hard,4,Completed,"Fortress","Fortress: Objective #7","1","18:56:52","18:57:01",
Bot242,"Всеволод Углов",hard,4,Failed,"Power Switch","Power Switch: Objective #1","1","18:57:06","18:58:34",
