Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Бронислав Сухих",hard,4,Failed,"Skyside Hotel","Skyside Hotel: Objective #4","1","20:10:31","20:14:30",
Bot2,"Руслан Сильнов",hard,9,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:10:32","20:14:51",
Bot2,"Руслан Сильнов",hard,9,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","20:14:56","20:16:37",
Bot2,"Руслан Сильнов",hard,9,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","20:16:42","20:18:38",
Bot2,"Руслан Сильнов",hard,9,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","20:18:43","20:19:45",
Bot3,"Hunter Kaylor",hard,7,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:10:33","20:10:56",
Bot3,"Hunter Kaylor",hard,7,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","20:11:01","20:12:38",
Bot4,"Houston Turek",hard,7,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:10:34","20:11:40",
Bot4,"Houston Turek",hard,7,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","20:11:45","20:12:10",
Bot4,"Houston Turek",hard,7,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","20:12:15","20:14:14",
Bot4,"Houston Turek",hard,7,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:14:19","20:14:40",
Bot4,"Houston Turek",hard,7,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #3","1","20:14:45","20:15:32",
Bot4,"Houston Turek",hard,7,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","20:15:37","20:18:26",
Bot4,"Houston Turek",hard,7,Failed,"TerraGroup Lawn","TerraGroup Lawn: Objective #1","1","20:18:31","20:21:19",
Bot5,"Brian Almaraz",hard,9,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:10:35","20:20:51",
Bot6,"Мирон Орлов",hard,13,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","20:10:36","20:11:30",
Bot10,"Grayson Kimbrel",hard,1,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","20:10:40","20:10:43",
Bot10,"Grayson Kimbrel",hard,1,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:10:48","N/A",
Bot11,"Rodger Arvizu",hard,5,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","20:10:41","20:10:44",
Bot11,"Rodger Arvizu",hard,5,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:10:49","N/A",
Bot21,"Святослав Гуськов",hard,3,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:20:38","20:22:05",
Bot21,"Святослав Гуськов",hard,3,Active,"Underground Utility Room","Underground Utility Room: Objective #1","1","20:22:10","N/A",
Bot22,"Натан Ковшутин",hard,14,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:20:39","N/A",
Bot25,"Emerson Chong",hard,13,Active,"TerraGroup Office","TerraGroup Office: Objective #2","1","20:21:09","N/A",
Bot26,"Brady Duron",hard,13,Pending,"Saving the Mole","Item TerraGroup scientist's hard drive","1","20:21:10","N/A",
