Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot95,"Василий Голубцов",hard,33,Failed,"Farming - Part 3","Zone place_SADOVOD_03","1","20:54:28","20:55:04",
Bot96,"Herbert Carden",hard,12,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","20:54:29","20:59:11",
Bot97,"Наум Церетели",hard,14,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","20:54:30","20:54:48",
Bot97,"Наум Церетели",hard,14,Active,"Tigr Safari","Zone place_peacemaker_002_N1","1","20:54:53","N/A",
Bot98,"Вадим Магомедов",hard,18,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","20:54:31","20:59:35",
Bot99,"Alva Ley",hard,30,Pending,"Boss Hunter","Spawn Point (581.8 3.1 0.9)","1","20:54:32","N/A",
Bot110,"Макей Ханипов",hard,2,Failed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","20:54:43","21:08:16",
Bot111,"Пахом Маликов",hard,29,Completed,"Dorms 2 Story Rush","Dorms 2 Story Rush: Objective #1","1","20:54:44","21:08:42",
Bot111,"Пахом Маликов",hard,29,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","21:08:47","21:10:13",
Bot124,"Вениамин Мельников",hard,5,Failed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","21:00:28","21:00:43",
Bot131,"Кондрат Бебчук",hard,17,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","21:01:42","21:01:58",
Bot131,"Кондрат Бебчук",hard,17,Pending,"Tigr Safari","Zone place_peacemaker_002_N1","1","21:02:03","N/A",
Bot152,"Филипп Скумин",hard,11,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","21:07:25","21:18:55",
Bot152,"Филипп Скумин",hard,11,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","21:19:01","21:19:12",
Bot153,"Геннадий Бортник",hard,25,Pending,"Tigr Safari","Zone place_peacemaker_002_N3","1","21:07:27","N/A",
Bot154,"Леонтий Куваев",hard,25,Failed,"Giving Tree","Giving Tree: Objective #1","1","21:07:28","21:09:45",
Bot155,"Демид Раскалов",hard,30,Failed,"Fortress","Fortress: Objective #4","1","21:07:28","21:16:23",
Bot156,"Евдоким Торшин",hard,17,Pending,"The Extortionist","Zone dead_posylni","1","21:07:30","N/A",
Bot157,"ControlF Добронравов",hard,20,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","21:07:30","21:11:15",
Bot157,"ControlF Добронравов",hard,20,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #13","1","21:11:20","21:11:41",
Bot157,"ControlF Добронравов",hard,20,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","21:11:46","21:17:41",
Bot158,"Максим Илюшин",hard,11,Pending,"BP Depot","Zone fuel1","1","21:07:32","N/A",
Bot162,"Иван Кедров",hard,10,Active,"Pharmacist","Zone vaz_feld","1","21:07:50","N/A",
Bot175,"Jonah Spray",hard,16,Failed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","21:12:35","21:16:45",
Bot176,"Zachery Burpo",hard,16,Active,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","21:12:36","N/A",
Bot180,"Ян Сафиуллин",hard,40,Active,"Short Cut","Short Cut: Objective #1","1","21:13:14","N/A",
Bot181,"Астап Рогозин",hard,12,Completed,"Warehouse 4","Warehouse 4: Objective #2","1","21:13:15","21:13:25",
Bot181,"Астап Рогозин",hard,12,Pending,"Warehouse 4","Warehouse 4: Objective #3","1","21:13:30","N/A",
Bot189,"Pete Ham",hard,10,Failed,"Crackhouse","Crackhouse: Objective #7","1","21:14:23","21:15:29",
Bot190,"Rod Keasler",hard,12,Failed,"Center Crossing Camping","Center Crossing Camping: Objective #1","1","21:14:23","21:16:10",
Bot191,"Jackson Deen",hard,24,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","21:14:25","21:14:33",
Bot202,"Вячеслав Андреев",hard,10,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","21:17:58","21:18:28",
Bot202,"Вячеслав Андреев",hard,10,Active,"Dorms 3 Story","Dorms 3 Story: Objective #10","1","21:18:34","N/A",
